"","city","so2","no2","spm","year","lat","lng","radius","avg","pop","date"
"80","Kurnool","4.37034466938014","13.260120582093","184.2022472",2023,15.828865,78.036021,116.5840132,67.2775708171577,424920,2023-01-01
"81","Kurnool","4.39064132580822","13.5230404784884","184.2022472",2024,15.828865,78.036021,116.5840132,67.3719763347655,424920,2024-01-01
"82","Kurnool","4.4109379822363","13.7859603748837","184.2022472",2025,15.828865,78.036021,116.5840132,67.4663818523733,424920,2025-01-01
"83","Guntur","6.56983073272671","35.6581214512174","68.5550725000006",2016,16.29974,80.45729,116.5840132,36.9276748946482,651382,2016-01-01
"84","Guntur","6.90271392613044","38.5410869307826","53.6280797500007",2017,16.29974,80.45729,116.5840132,33.0239602023046,651382,2017-01-01
"85","Guntur","7.23559711953417","41.4240524103478","38.7010870000008",2018,16.29974,80.45729,116.5840132,29.1202455099609,651382,2018-01-01
"86","Guntur","7.56848031293789","44.307017889913","23.7740942500009",2019,16.29974,80.45729,116.5840132,25.2165308176173,651382,2019-01-01
"87","Guntur","7.90136350634162","47.1899833694783","8.84710150000092",2020,16.29974,80.45729,116.5840132,21.3128161252736,651382,2020-01-01
"88","Guntur","8.23424669974535","50.0729488490435","0",2021,16.29974,80.45729,116.5840132,19.4357318495963,651382,2021-01-01
"89","Guntur","8.56712989314907","52.9559143286087","0",2022,16.29974,80.45729,116.5840132,20.5076814072526,651382,2022-01-01
"90","Guntur","8.9000130865528","55.8388798081739","0",2023,16.29974,80.45729,116.5840132,21.5796309649089,651382,2023-01-01
"91","Guntur","9.23289627995653","58.7218452877391","0",2024,16.29974,80.45729,116.5840132,22.6515805225652,651382,2024-01-01
"92","Guntur","9.56577947336026","61.6048107673044","0",2025,16.29974,80.45729,116.5840132,23.7235300802216,651382,2025-01-01
"93","Nalgonda","6.13297606803571","16.6963231653571","214.6470588",2016,17.05439,79.26707,116.5840132,79.1587860111309,135163,2016-01-01
"94","Nalgonda","6.32244319771428","16.2543071185714","214.6470588",2017,17.05439,79.26707,116.5840132,79.0746030387619,135163,2017-01-01
"95","Nalgonda","6.51191032739285","15.8122910717857","214.6470588",2018,17.05439,79.26707,116.5840132,78.9904200663928,135163,2018-01-01
"96","Nalgonda","6.70137745707143","15.370275025","214.6470588",2019,17.05439,79.26707,116.5840132,78.9062370940238,135163,2019-01-01
"97","Nalgonda","6.89084458675","14.9282589782143","214.6470588",2020,17.05439,79.26707,116.5840132,78.8220541216548,135163,2020-01-01
"98","Nalgonda","7.08031171642857","14.4862429314286","214.6470588",2021,17.05439,79.26707,116.5840132,78.7378711492857,135163,2021-01-01
"99","Nalgonda","7.26977884610714","14.0442268846429","214.6470588",2022,17.05439,79.26707,116.5840132,78.6536881769167,135163,2022-01-01
"100","Nalgonda","7.45924597578571","13.6022108378571","214.6470588",2023,17.05439,79.26707,116.5840132,78.5695052045476,135163,2023-01-01
"101","Nalgonda","7.64871310546428","13.1601947910714","214.6470588",2024,17.05439,79.26707,116.5840132,78.4853222321786,135163,2024-01-01
"102","Nalgonda","7.83818023514285","12.7181787442857","214.6470588",2025,17.05439,79.26707,116.5840132,78.4011392598095,135163,2025-01-01
"103","Nellore","5.32284001035715","33.9209688185714","193",2016,14.449918,79.986967,116.5840132,77.4146029429762,505258,2016-01-01
"104","Nellore","5.41253932057143","36.300811252381","193",2017,14.449918,79.986967,116.5840132,78.2377835243175,505258,2017-01-01
"105","Nellore","5.50223863078572","38.6806536861905","193",2018,14.449918,79.986967,116.5840132,79.0609641056587,505258,2018-01-01
"106","Nellore","5.591937941","41.06049612","193",2019,14.449918,79.986967,116.5840132,79.884144687,505258,2019-01-01
