city,so2,no2,spm,year,lat,lng,radius,avg,date,pop
Warangal,4.075,9.705,144.9,2009,17.978423,79.600209,116.5840132,52.89333333,1/1/2009,620116
Warangal,3.539215686,9.931372549,NA,2010,17.978423,79.600209,116.5840132,6.735294118,1/1/2010,620116
Warangal,NA,10.17333333,121.8333333,2011,17.978423,79.600209,116.5840132,66.00333332,1/1/2011,620116
Warangal,NA,NA,NA,2013,17.978423,79.600209,116.5840132,NA,1/1/2013,620116
Warangal,5.1,11.48888889,NA,2014,17.978423,79.600209,116.5840132,8.294444445,1/1/2014,620116
Warangal,5.269607843,12.07843137,NA,2015,17.978423,79.600209,116.5840132,8.674019607,1/1/2015,620116
Chittoor,4,9,NA,2010,13.21055,79.0956,116.5840132,6.5,1/1/2010,153766
Chittoor,4.111111111,9,104.4722222,2011,13.21055,79.0956,116.5840132,39.19444444,1/1/2011,153766
Chittoor,4.03030303,9.02020202,NA,2012,13.21055,79.0956,116.5840132,6.525252525,1/1/2012,153766
Chittoor,4.310185185,9.421296296,NA,2013,13.21055,79.0956,116.5840132,6.865740741,1/1/2013,153766
Chittoor,5.043478261,12.7173913,NA,2014,13.21055,79.0956,116.5840132,8.880434781,1/1/2014,153766
Chittoor,4.890547264,12.6318408,NA,2015,13.21055,79.0956,116.5840132,8.761194032,1/1/2015,153766
Khammam,2,10.90291262,NA,2010,17.247672,80.143682,116.5840132,6.45145631,1/1/2010,184252
Khammam,5.188888889,11.13333333,NA,2012,17.247672,80.143682,116.5840132,8.16111111,1/1/2012,184252
Khammam,4.453125,17.08854167,NA,2013,17.247672,80.143682,116.5840132,10.77083334,1/1/2013,184252
Khammam,4.433962264,17.0754717,NA,2014,17.247672,80.143682,116.5840132,10.75471698,1/1/2014,184252
Khammam,5.323671498,12.34782609,NA,2015,17.247672,80.143682,116.5840132,8.835748794,1/1/2015,184252
Kakinada,NA,NA,NA,2012,16.93333,82.08333,116.5840132,NA,1/1/2012,312255
Kakinada,NA,NA,NA,2013,16.93333,82.08333,116.5840132,NA,1/1/2013,312255
Kakinada,7.647058824,19.00980392,NA,2015,16.93333,82.08333,116.5840132,13.32843137,1/1/2015,312255
Ananthapur,4,12.56481481,NA,2013,14.6819,77.595406,116.5840132,8.282407405,1/1/2013,262340
Ananthapur,4.787037037,10.31481481,NA,2014,14.6819,77.595406,116.5840132,7.550925924,1/1/2014,262340
Ananthapur,5.166666667,10.68518519,NA,2015,14.6819,77.595406,116.5840132,7.925925929,1/1/2015,262340
Eluru,NA,NA,NA,2013,17.10449,82.24455,116.5840132,NA,1/1/2013,214414
Eluru,NA,NA,NA,2014,17.10449,82.24455,116.5840132,NA,1/1/2014,214414
Eluru,NA,NA,NA,2015,17.10449,82.24455,116.5840132,NA,1/1/2015,214414
Kadapa,4.740740741,9.842592593,NA,2013,14.50996,78.77283,116.5840132,7.291666667,1/1/2013,341823
Kadapa,4.416666667,10.25,NA,2014,14.50996,78.77283,116.5840132,7.333333334,1/1/2014,341823
Kadapa,4.77,11.13,NA,2015,14.50996,78.77283,116.5840132,7.95,1/1/2015,341823
Karimnagar,NA,NA,NA,2013,18.43915,79.12856,116.5840132,NA,1/1/2013,260899
Karimnagar,7.09,14.97,NA,2015,18.43915,79.12856,116.5840132,11.03,1/1/2015,260899
Nizamabad,4.814814815,12.40740741,NA,2013,26.05295,83.05787,116.5840132,8.611111113,1/1/2013,310467
Ongole,NA,NA,NA,2013,15.503565,80.044541,116.5840132,NA,1/1/2013,202826
Ongole,4.759259259,21.62962963,NA,2014,15.503565,80.044541,116.5840132,13.19444444,1/1/2014,202826
Ongole,4.990291262,28.60194175,NA,2015,15.503565,80.044541,116.5840132,16.79611651,1/1/2015,202826
Rajahmundry,NA,NA,NA,2013,17.00517,81.77784,116.5840132,NA,1/1/2013,343903
Rajahmundry,10.61682243,17.61682243,NA,2014,17.00517,81.77784,116.5840132,14.11682243,1/1/2014,343903
Rajahmundry,7.421568627,18.19607843,NA,2015,17.00517,81.77784,116.5840132,12.80882353,1/1/2015,343903
Sangareddy,NA,NA,NA,2013,17.62893,78.08468,116.5840132,NA,1/1/2013,72344
Sangareddy,7.286016949,53.06920904,NA,2014,17.62893,78.08468,116.5840132,30.17761299,1/1/2014,72344
Sangareddy,5.676190476,21.2952381,NA,2015,17.62893,78.08468,116.5840132,13.48571429,1/1/2015,72344
Srikakulam,NA,NA,NA,2013,18.2989,83.89751,116.5840132,NA,1/1/2013,126003
Srikakulam,NA,NA,NA,2014,18.2989,83.89751,116.5840132,NA,1/1/2014,126003
Srikakulam,NA,NA,NA,2015,18.2989,83.89751,116.5840132,NA,1/1/2015,126003
Vizianagaram,NA,NA,NA,2013,18.11329,83.397743,116.5840132,NA,1/1/2013,227533
Vizianagaram,NA,NA,NA,2014,18.11329,83.397743,116.5840132,NA,1/1/2014,227533
Vizianagaram,NA,NA,NA,2015,18.11329,83.397743,116.5840132,NA,1/1/2015,227533
Itanagar,NA,NA,NA,2014,27.102349,93.692047,116.5840132,NA,1/1/2014,59490
Itanagar,NA,NA,NA,2015,27.102349,93.692047,116.5840132,NA,1/1/2015,59490
Naharlagun,NA,NA,NA,2014,27.10467,93.69518,116.5840132,NA,1/1/2014,36158
Naharlagun,NA,NA,NA,2015,27.10467,93.69518,116.5840132,NA,1/1/2015,36158
Guwahati,12.8,20.33478261,37.34782609,1991,26.19749,91.7202,116.5840132,23.4942029,1/1/1991,963429
Guwahati,NA,NA,55.13333333,1992,26.19749,91.7202,116.5840132,55.13333333,1/1/1992,963429
Guwahati,6.047727273,35.43181818,NA,1993,26.19749,91.7202,116.5840132,20.73977273,1/1/1993,963429
Guwahati,6.402777778,NA,105.3055556,1994,26.19749,91.7202,116.5840132,55.85416669,1/1/1994,963429
Guwahati,1.978125,18.88125,63.6875,1995,26.19749,91.7202,116.5840132,28.18229167,1/1/1995,963429
Guwahati,NA,NA,117.8148148,1996,26.19749,91.7202,116.5840132,117.8148148,1/1/1996,963429
Guwahati,NA,NA,299,1997,26.19749,91.7202,116.5840132,299,1/1/1997,963429
Guwahati,7.208333333,43,159.3333333,2000,26.19749,91.7202,116.5840132,69.84722221,1/1/2000,963429
Guwahati,3.708333333,19.575,172,2001,26.19749,91.7202,116.5840132,65.09444444,1/1/2001,963429
Guwahati,3.141666667,18.7,168.8333333,2002,26.19749,91.7202,116.5840132,63.55833332,1/1/2002,963429
Guwahati,3.189189189,14.31013514,NA,2004,26.19749,91.7202,116.5840132,8.749662165,1/1/2004,963429
Guwahati,NA,NA,192.8172414,2005,26.19749,91.7202,116.5840132,192.8172414,1/1/2005,963429
Guwahati,NA,NA,NA,2006,26.19749,91.7202,116.5840132,NA,1/1/2006,963429
Guwahati,NA,NA,155.0227894,2007,26.19749,91.7202,116.5840132,155.0227894,1/1/2007,963429
Guwahati,NA,15.41755233,176.6409018,2008,26.19749,91.7202,116.5840132,96.02922707,1/1/2008,963429
Guwahati,NA,16.37353362,215.620887,2009,26.19749,91.7202,116.5840132,115.9972103,1/1/2009,963429
Guwahati,7.619395203,15.2544317,NA,2010,26.19749,91.7202,116.5840132,11.43691345,1/1/2010,963429
Guwahati,6.182629482,14.18565737,NA,2012,26.19749,91.7202,116.5840132,10.18414343,1/1/2012,963429
Guwahati,7.061738424,15.78229082,NA,2013,26.19749,91.7202,116.5840132,11.42201462,1/1/2013,963429
Guwahati,NA,NA,NA,2014,26.19749,91.7202,116.5840132,NA,1/1/2014,963429
Guwahati,7.150038081,14.34577304,NA,2015,26.19749,91.7202,116.5840132,10.74790556,1/1/2015,963429
Bongaigaon,NA,NA,62.23076923,2005,26.47703,90.55815,116.5840132,62.23076923,1/1/2005,732639
Bongaigaon,NA,NA,61.33333333,2006,26.47703,90.55815,116.5840132,61.33333333,1/1/2006,732639
Bongaigaon,NA,NA,88.16666667,2007,26.47703,90.55815,116.5840132,88.16666667,1/1/2007,732639
Bongaigaon,NA,NA,102.507109,2008,26.47703,90.55815,116.5840132,102.507109,1/1/2008,732639
Bongaigaon,6.094535519,15.26994536,145.6994536,2009,26.47703,90.55815,116.5840132,55.68797816,1/1/2009,732639
Bongaigaon,6.524038462,15.04326923,NA,2010,26.47703,90.55815,116.5840132,10.78365385,1/1/2010,732639
Bongaigaon,6.122660099,13.67881773,NA,2012,26.47703,90.55815,116.5840132,9.900738915,1/1/2012,732639
Bongaigaon,6.786729858,14.40758294,NA,2013,26.47703,90.55815,116.5840132,10.5971564,1/1/2013,732639
Bongaigaon,6.637254902,13.23529412,NA,2014,26.47703,90.55815,116.5840132,9.936274511,1/1/2014,732639
Bongaigaon,7.058823529,13.9144385,NA,2015,26.47703,90.55815,116.5840132,10.48663101,1/1/2015,732639
Dibrugarh,5.8,14.57878788,97.84848485,2006,27.479888,94.90837,116.5840132,39.40909091,1/1/2006,138661
Dibrugarh,NA,11.28085106,107.2446809,2007,27.479888,94.90837,116.5840132,59.26276598,1/1/2007,138661
Dibrugarh,NA,NA,92.66666667,2008,27.479888,94.90837,116.5840132,92.66666667,1/1/2008,138661
